# Unicode 17.0.0 symboles imprimables
Alchimie	🜀	Alchemical Symbol For Quintessence	ALCHEMICAL SYMBOL FOR QUINTESSENCE|Alchemical Symbols|So
Alchimie	🜁	Alchemical Symbol For Air	ALCHEMICAL SYMBOL FOR AIR|Alchemical Symbols|So
Alchimie	🜂	Alchemical Symbol For Fire	ALCHEMICAL SYMBOL FOR FIRE|Alchemical Symbols|So
Alchimie	🜃	Alchemical Symbol For Earth	ALCHEMICAL SYMBOL FOR EARTH|Alchemical Symbols|So|terre
Alchimie	🜄	Alchemical Symbol For Water	ALCHEMICAL SYMBOL FOR WATER|Alchemical Symbols|So
Alchimie	🜅	Alchemical Symbol For Aquafortis	ALCHEMICAL SYMBOL FOR AQUAFORTIS|Alchemical Symbols|So
Alchimie	🜆	Alchemical Symbol For Aqua Regia	ALCHEMICAL SYMBOL FOR AQUA REGIA|Alchemical Symbols|So
Alchimie	🜇	Alchemical Symbol For Aqua Regia 2	ALCHEMICAL SYMBOL FOR AQUA REGIA-2|Alchemical Symbols|So
Alchimie	🜈	Alchemical Symbol For Aqua Vitae	ALCHEMICAL SYMBOL FOR AQUA VITAE|Alchemical Symbols|So
Alchimie	🜉	Alchemical Symbol For Aqua Vitae 2	ALCHEMICAL SYMBOL FOR AQUA VITAE-2|Alchemical Symbols|So
Alchimie	🜊	Alchemical Symbol For Vinegar	ALCHEMICAL SYMBOL FOR VINEGAR|Alchemical Symbols|So
Alchimie	🜋	Alchemical Symbol For Vinegar 2	ALCHEMICAL SYMBOL FOR VINEGAR-2|Alchemical Symbols|So
Alchimie	🜌	Alchemical Symbol For Vinegar 3	ALCHEMICAL SYMBOL FOR VINEGAR-3|Alchemical Symbols|So
Alchimie	🜍	Alchemical Symbol For Sulfur	ALCHEMICAL SYMBOL FOR SULFUR|Alchemical Symbols|So
Alchimie	🜎	Alchemical Symbol For Philosophers Sulfur	ALCHEMICAL SYMBOL FOR PHILOSOPHERS SULFUR|Alchemical Symbols|So
Alchimie	🜏	Alchemical Symbol For Black Sulfur	ALCHEMICAL SYMBOL FOR BLACK SULFUR|Alchemical Symbols|So|noir
Alchimie	🜐	Alchemical Symbol For Mercury Sublimate	ALCHEMICAL SYMBOL FOR MERCURY SUBLIMATE|Alchemical Symbols|So
Alchimie	🜑	Alchemical Symbol For Mercury Sublimate 2	ALCHEMICAL SYMBOL FOR MERCURY SUBLIMATE-2|Alchemical Symbols|So
Alchimie	🜒	Alchemical Symbol For Mercury Sublimate 3	ALCHEMICAL SYMBOL FOR MERCURY SUBLIMATE-3|Alchemical Symbols|So
Alchimie	🜓	Alchemical Symbol For Cinnabar	ALCHEMICAL SYMBOL FOR CINNABAR|Alchemical Symbols|So
Alchimie	🜔	Alchemical Symbol For Salt	ALCHEMICAL SYMBOL FOR SALT|Alchemical Symbols|So
Alchimie	🜕	Alchemical Symbol For Nitre	ALCHEMICAL SYMBOL FOR NITRE|Alchemical Symbols|So
Alchimie	🜖	Alchemical Symbol For Vitriol	ALCHEMICAL SYMBOL FOR VITRIOL|Alchemical Symbols|So
Alchimie	🜗	Alchemical Symbol For Vitriol 2	ALCHEMICAL SYMBOL FOR VITRIOL-2|Alchemical Symbols|So
Alchimie	🜘	Alchemical Symbol For Rock Salt	ALCHEMICAL SYMBOL FOR ROCK SALT|Alchemical Symbols|So
Alchimie	🜙	Alchemical Symbol For Rock Salt 2	ALCHEMICAL SYMBOL FOR ROCK SALT-2|Alchemical Symbols|So
Alchimie	🜚	Alchemical Symbol For Gold	ALCHEMICAL SYMBOL FOR GOLD|Alchemical Symbols|So
Alchimie	🜛	Alchemical Symbol For Silver	ALCHEMICAL SYMBOL FOR SILVER|Alchemical Symbols|So
Alchimie	🜜	Alchemical Symbol For Iron Ore	ALCHEMICAL SYMBOL FOR IRON ORE|Alchemical Symbols|So
Alchimie	🜝	Alchemical Symbol For Iron Ore 2	ALCHEMICAL SYMBOL FOR IRON ORE-2|Alchemical Symbols|So
Alchimie	🜞	Alchemical Symbol For Crocus Of Iron	ALCHEMICAL SYMBOL FOR CROCUS OF IRON|Alchemical Symbols|So
Alchimie	🜟	Alchemical Symbol For Regulus Of Iron	ALCHEMICAL SYMBOL FOR REGULUS OF IRON|Alchemical Symbols|So
Alchimie	🜠	Alchemical Symbol For Copper Ore	ALCHEMICAL SYMBOL FOR COPPER ORE|Alchemical Symbols|So
Alchimie	🜡	Alchemical Symbol For Iron Copper Ore	ALCHEMICAL SYMBOL FOR IRON-COPPER ORE|Alchemical Symbols|So
Alchimie	🜢	Alchemical Symbol For Sublimate Of Copper	ALCHEMICAL SYMBOL FOR SUBLIMATE OF COPPER|Alchemical Symbols|So
